Competition,تیم.1,بازیها,امتیاز
آرشیو جدول های لیگ برتر ایران,گل گهرسیرجان,2,6
آرشیو جدول های لیگ برتر ایران,نساجی مازندران,2,4
آرشیو جدول های لیگ برتر ایران,فولاد,2,4
آرشیو جدول های لیگ برتر ایران,پرسپولیس,2,4
آرشیو جدول های لیگ برتر ایران,شهر خودرو,1,3
آرشیو جدول های لیگ برتر ایران,استقلال,2,3
آرشیو جدول های لیگ برتر ایران,صنعت نفت آبادان,2,3
آرشیو جدول های لیگ برتر ایران,سپاهان,2,3
آرشیو جدول های لیگ برتر ایران,ذوب آهن,2,2
آرشیو جدول های لیگ برتر ایران,تراکتور,2,2
آرشیو جدول های لیگ برتر ایران,سایپا,2,2
آرشیو جدول های لیگ برتر ایران,نفت‌ مسجدسلیمان,2,2
آرشیو جدول های لیگ برتر ایران,ماشین‌سازی‌تبریز,2,1
آرشیو جدول های لیگ برتر ایران,پیکان,1,0
آرشیو جدول های لیگ برتر ایران,آلومینیوم اراک,2,0
آرشیو جدول های لیگ برتر ایران,مس رفسنجان,2,0
آرشیو جدول های لیگ برتر ایران,پارس جنوبی جم,30,30
آرشیو جدول های لیگ برتر ایران,شاهین شهرداری‌بوشهر,30,22
آرشیو جدول های لیگ برتر ایران,سپیدرود رشت,30,20
آرشیو جدول های لیگ برتر ایران,استقلال خوزستان,30,12
آرشیو جدول های لیگ برتر ایران,گسترش فولاد,30,37
آرشیو جدول های لیگ برتر ایران,نفت تهران,30,24
آرشیو جدول های لیگ برتر ایران,سیاه جامگان,30,15
آرشیو جدول های لیگ برتر ایران,صبای قم,30,42
آرشیو جدول های لیگ برتر ایران,ملوان,0,0
آرشیو جدول های لیگ برتر ایران,راه‌آهن,30,25
آرشیو جدول های لیگ برتر ایران,استقلال اهواز,30,13
آرشیو جدول های لیگ برتر ایران,فجر سپاسی,0,0
آرشیو جدول های لیگ برتر ایران,داماش گیلان,34,42
آرشیو جدول های لیگ برتر ایران,مس کرمان,0,0
آرشیو جدول های لیگ برتر ایران,آلومینیوم هرمزگان,38,32
آرشیو جدول های لیگ برتر ایران,گهر دورود,24,12
آرشیو جدول های لیگ برتر ایران,شهرداری تبریز,34,10
آرشیو جدول های لیگ دسته یک,بادران تهران,0,0
آرشیو جدول های لیگ دسته یک,هوادار,0,0
آرشیو جدول های لیگ دسته یک,نود ارومیه,0,0
آرشیو جدول های لیگ دسته یک,گل ریحان البرز,0,0
آرشیو جدول های لیگ دسته یک,رایکا بابل,0,0
آرشیو جدول های لیگ دسته یک,قشقایی شیراز,0,0
آرشیو جدول های لیگ دسته یک,خونه به خونه,34,64
آرشیو جدول های لیگ دسته یک,کارون اروند خرمشهر,30,28
آرشیو جدول های لیگ دسته یک,شهرداری ماهشهر,34,41
آرشیو جدول های لیگ دسته یک,برق جدید شیراز,34,41
آرشیو جدول های لیگ دسته یک,ایران جوان بوشهر,34,33
آرشیو جدول های لیگ دسته یک,خیبر خرم‌آباد,0,0
آرشیو جدول های لیگ دسته یک,فولاد یزد,34,30
آرشیو جدول های لیگ دسته یک,پارسه تهران,38,42
آرشیو جدول های لیگ دسته یک,پاس,38,42
آرشیو جدول های لیگ دسته یک,شهرداری اردبیل,38,40
آرشیو جدول های لیگ دسته یک,فولاد نوين,22,42
آرشیو جدول های لیگ دسته یک,نفت‌وگاز گچساران,22,25
آرشیو جدول های لیگ دسته یک,راهیان کرمانشاه,21,22
آرشیو جدول های لیگ دسته یک,شهرداری‌بندرعباس,21,16
آرشیو جدول های لیگ دسته یک,اتکا گرگان,11,5
آرشیو جدول های لیگ دسته یک,شهرداری یاسوج,24,28
آرشیو جدول های لیگ دسته یک,الوند همدان,24,22
آرشیو جدول های لیگ دسته یک,البدر بندرکنگ,24,25
آرشیو جدول های لیگ دسته یک,ابومسلم,24,22
آرشیو جدول های لیگ دسته یک,پرسپولیس شمال,24,19
آرشیو جدول های لیگ دسته یک,حفاری اهواز,26,44
آرشیو جدول های لیگ دسته یک,استیل آذین,26,28
آرشیو جدول های لیگ دسته یک,صنعت ساری,26,26
آرشیو جدول های لیگ دسته یک,پیام مخابرات,26,25
آرشیو جدول های لیگ برتر فوتسال,مس سونگون,26,55
آرشیو جدول های لیگ برتر فوتسال,گیتی‌پسند‌,26,67
آرشیو جدول های لیگ برتر فوتسال,ارژن شیراز,26,27
آرشیو جدول های لیگ برتر فوتسال,تاسیسات دریایی,26,50
آرشیو جدول های لیگ برتر فوتسال,دبیری تبریز,26,59
آرشیو جدول های لیگ برتر فوتسال,شهید منصوری,25,30
آرشیو جدول های لیگ برتر فوتسال,فردوسی مشهد,25,19
آرشیو جدول های لیگ برتر فوتسال,ماهان تندیس قم,26,38
آرشیو جدول های لیگ برتر فوتسال,راه ساری,26,12
لیگ قهرمانان آسیا 2020,الاهلی عربستان,4,6
لیگ قهرمانان آسیا 2020,پاختاکور,4,10
لیگ قهرمانان آسیا 2020,التعاون عربستان,6,9
لیگ قهرمانان آسیا 2020,النصرعربستان,6,11
لیگ قهرمانان آسیا 2020,السد,5,13
لیگ قهرمانان آسیا 2020,العین امارات,6,5
لیگ قهرمانان آسیا 2020,اف سی سئول,22,25
لیگ قهرمانان آسیا 2020,ملبورن ویکتوری,2,3
لیگ قهرمانان آسیا 2020,اف سی توکیو,2,4
لیگ قهرمانان آسیا 2020,سوون سامسونگ,21,21
لیگ قهرمانان آسیا 2020,شانگهای SIPG,1,3
لیگ قهرمانان آسیا 2020,چونبوک موتورز,21,45
لیگ قهرمانان آسیا 2020,سیدنی اف سی,3,1
لیگ قهرمانان اروپا 2020-2021,بایرن مونیخ,8,19
لیگ قهرمانان اروپا 2020-2021,اتلتیکومادرید,7,17
لیگ قهرمانان اروپا 2020-2021,مونشن گلادباخ,8,12
لیگ قهرمانان اروپا 2020-2021,رئال‌مادرید,9,17
لیگ قهرمانان اروپا 2020-2021,شاختار,3,4
لیگ قهرمانان اروپا 2020-2021,اینتر,7,12
لیگ قهرمانان اروپا 2020-2021,منچسترسیتی,8,12
لیگ قهرمانان اروپا 2020-2021,پورتو,7,13
لیگ قهرمانان اروپا 2020-2021,المپیاکوس,3,3
لیگ قهرمانان اروپا 2020-2021,مارسی,9,18
لیگ قهرمانان اروپا 2020-2021,لیورپول,8,17
لیگ قهرمانان اروپا 2020-2021,آژاکس,8,21
لیگ قهرمانان اروپا 2020-2021,آتالانتا,8,14
لیگ قهرمانان اروپا 2020-2021,چلسی,9,18
لیگ قهرمانان اروپا 2020-2021,سویا,8,13
لیگ قهرمانان اروپا 2020-2021,رن,11,18
لیگ قهرمانان اروپا 2020-2021,کراسنودار,14,18
لیگ قهرمانان اروپا 2020-2021,دورتموند,7,15
لیگ قهرمانان اروپا 2020-2021,لاتزیو,8,14
لیگ قهرمانان اروپا 2020-2021,کلوب بروژ,12,23
لیگ قهرمانان اروپا 2020-2021,زنیت,15,31
لیگ قهرمانان اروپا 2020-2021,بارسلونا,7,11
لیگ قهرمانان اروپا 2020-2021,یوونتوس,7,13
لیگ قهرمانان اروپا 2020-2021,منچستریونایتد,7,10
لیگ قهرمانان اروپا 2020-2021,لایپزیش,8,17
لیگ قهرمانان اروپا 2020-2021,پاری سن ژرمن,11,24
آرشیو جدول های لیگ برتر انگلیس,تاتنهام,9,20
آرشیو جدول های لیگ برتر انگلیس,لسترسیتی,8,18
آرشیو جدول های لیگ برتر انگلیس,ساوتهمپتون,8,16
آرشیو جدول های لیگ برتر انگلیس,استون ویلا,8,15
آرشیو جدول های لیگ برتر انگلیس,اورتون,8,13
آرشیو جدول های لیگ برتر انگلیس,کریستال پالاس,8,13
آرشیو جدول های لیگ برتر انگلیس,ولورهمپتون,8,13
آرشیو جدول های لیگ برتر انگلیس,آرسنال,8,12
آرشیو جدول های لیگ برتر انگلیس,وستهام,8,11
آرشیو جدول های لیگ برتر انگلیس,نیوکسل,9,11
آرشیو جدول های لیگ برتر انگلیس,برایتون,9,9
آرشیو جدول های لیگ برتر انگلیس,فولام,8,4
آرشیو جدول های لیگ برتر انگلیس,وست برومویچ,8,3
آرشیو جدول های لیگ برتر انگلیس,برنلی,7,2
آرشیو جدول های لیگ برتر انگلیس,بورنموث,38,34
آرشیو جدول های لیگ برتر انگلیس,واتفورد,38,34
آرشیو جدول های لیگ برتر انگلیس,نوریچ,38,21
آرشیو جدول های لیگ برتر انگلیس,کاردیف,38,34
آرشیو جدول های لیگ برتر انگلیس,هادرسفیلد,38,16
آرشیو جدول های لیگ برتر انگلیس,سوانسی,38,33
آرشیو جدول های لیگ برتر انگلیس,استوک‌سیتی,38,33
آرشیو جدول های لیگ برتر انگلیس,هال سیتی,38,34
آرشیو جدول های لیگ برتر انگلیس,میدلزبورو,38,28
آرشیو جدول های لیگ برتر انگلیس,ساندرلند,38,24
آرشیو جدول های لیگ برتر انگلیس,کوئینز پارک,10,11
آرشیو جدول های لیگ برتر انگلیس,ویگان,7,6
آرشیو جدول های لیگ برتر انگلیس,ردینگ,10,16
آرشیو جدول های لیگ برتر انگلیس,بولتون,6,5
آرشیو جدول های لیگ برتر انگلیس,بلکبرن,10,12
آرشیو جدول های لیگ برتر انگلیس,بیرمنگام,10,10
آرشیو جدول های لیگ برتر انگلیس,بلک پول,1,1
آرشیو جدول های لیگ برتر انگلیس,پورتموث,4,3
آرشیو جدول های بوندسلیگای آلمان,بایرلورکوزن,8,18
آرشیو جدول های بوندسلیگای آلمان,وولفسبورگ,8,14
آرشیو جدول های بوندسلیگای آلمان,اشتوتگارت,8,11
آرشیو جدول های بوندسلیگای آلمان,وردربرمن,8,11
آرشیو جدول های بوندسلیگای آلمان,آگزبورگ,8,11
آرشیو جدول های بوندسلیگای آلمان,فرانکفورت,8,11
آرشیو جدول های بوندسلیگای آلمان,هافن هایم,8,8
آرشیو جدول های بوندسلیگای آلمان,هرتابرلین,7,7
آرشیو جدول های بوندسلیگای آلمان,فرایبورگ,7,6
آرشیو جدول های بوندسلیگای آلمان,کلن,7,3
آرشیو جدول های بوندسلیگای آلمان,شالکه,8,3
آرشیو جدول های بوندسلیگای آلمان,ماینتس,7,1
آرشیو جدول های بوندسلیگای آلمان,دوسلدورف,34,44
آرشیو جدول های بوندسلیگای آلمان,هانوفر,34,21
آرشیو جدول های بوندسلیگای آلمان,نورنبرگ,34,19
آرشیو جدول های بوندسلیگای آلمان,هامبورگ,34,31
آرشیو جدول های بوندسلیگای آلمان,اینگول اشتات,34,32
آرشیو جدول های بوندسلیگای آلمان,دارمشتات,34,25
آرشیو جدول های بوندسلیگای آلمان,برانشوآیگ,18,24
آرشیو جدول های بوندسلیگای آلمان,کایزرسلاترن,18,26
آرشیو جدول های بوندسلیگای آلمان,سن پائولی,22,30
آرشیو جدول های بوندسلیگای آلمان,بوخوم,32,42
آرشیو جدول های لالیگای اسپانیا,رئال‌سوسیداد,9,20
آرشیو جدول های لالیگای اسپانیا,ویارئال,10,19
آرشیو جدول های لالیگای اسپانیا,گرانادا,8,14
آرشیو جدول های لالیگای اسپانیا,بتیس,9,12
آرشیو جدول های لالیگای اسپانیا,والنسیا,9,11
آرشیو جدول های لالیگای اسپانیا,اوساسونا,9,11
آرشیو جدول های لالیگای اسپانیا,ختافه,8,11
آرشیو جدول های لالیگای اسپانیا,بیلبائو,8,9
آرشیو جدول های لالیگای اسپانیا,آلاوس,9,9
آرشیو جدول های لالیگای اسپانیا,ایبار,9,9
آرشیو جدول های لالیگای اسپانیا,لوانته,9,7
آرشیو جدول های لالیگای اسپانیا,سلتاویگو,10,7
آرشیو جدول های لالیگای اسپانیا,وایادولید,9,6
آرشیو جدول های لالیگای اسپانیا,مایورکا,38,33
آرشیو جدول های لالیگای اسپانیا,اسپانیول,38,25
آرشیو جدول های لالیگای اسپانیا,رایو وایه کانو,38,32
آرشیو جدول های لالیگای اسپانیا,دیپورتیوو لاکرونیا,38,29
آرشیو جدول های لالیگای اسپانیا,لاس پالماس,38,22
آرشیو جدول های لالیگای اسپانیا,مالاگا,38,20
آرشیو جدول های لالیگای اسپانیا,خیخون,38,31
آرشیو جدول های لالیگای اسپانیا,آلمریا,5,7
آرشیو جدول های لالیگای اسپانیا,کوردوبا,7,9
آرشیو جدول های لالیگای اسپانیا,ساراگوسا,9,13
آرشیو جدول های لالیگای اسپانیا,ریسینگ سانتاندر,2,0
آرشیو جدول های لالیگای اسپانیا,هرکولس,2,4
آرشیو جدول های سری آ ایتالیا,آث میلان,7,17
آرشیو جدول های سری آ ایتالیا,ناپولی,7,14
آرشیو جدول های سری آ ایتالیا,آاس رم,7,14
آرشیو جدول های سری آ ایتالیا,هلاس ورونا,7,12
آرشیو جدول های سری آ ایتالیا,سمپدوریا,7,10
آرشیو جدول های سری آ ایتالیا,کالیاری,8,10
آرشیو جدول های سری آ ایتالیا,فیورنتینا,7,8
آرشیو جدول های سری آ ایتالیا,بولونیا,7,6
آرشیو جدول های سری آ ایتالیا,پارما,7,6
آرشیو جدول های سری آ ایتالیا,بنونتو,7,6
آرشیو جدول های سری آ ایتالیا,تورینو,7,5
آرشیو جدول های سری آ ایتالیا,جنوا,7,5
آرشیو جدول های سری آ ایتالیا,اودینزه,7,4
آرشیو جدول های سری آ ایتالیا,لچه,38,35
آرشیو جدول های سری آ ایتالیا,برشا,38,25
آرشیو جدول های سری آ ایتالیا,کیه وو,38,43
آرشیو جدول های سری آ ایتالیا,پالرمو,38,26
آرشیو جدول های سری آ ایتالیا,پسکارا,38,18
آرشیو جدول های سری آ ایتالیا,چزنا,3,7
آرشیو جدول های سری آ ایتالیا,کاتانیا,38,45
آرشیو جدول های سری آ ایتالیا,سیه نا,38,31
آرشیو جدول های سری آ ایتالیا,نوارا,5,3
آرشیو جدول های لوشامپیونا فرانسه,لیل,10,19
آرشیو جدول های لوشامپیونا فرانسه,لیون,10,17
آرشیو جدول های لوشامپیونا فرانسه,مون پلیه,10,17
آرشیو جدول های لوشامپیونا فرانسه,نیس,10,17
آرشیو جدول های لوشامپیونا فرانسه,بوردو,11,15
آرشیو جدول های لوشامپیونا فرانسه,برس,11,15
آرشیو جدول های لوشامپیونا فرانسه,نانت,9,11
آرشیو جدول های لوشامپیونا فرانسه,سنت اتین,11,10
آرشیو جدول های لوشامپیونا فرانسه,رنس,10,9
آرشیو جدول های لوشامپیونا فرانسه,لوریان,10,8
آرشیو جدول های لوشامپیونا فرانسه,دیژون,10,4
آرشیو جدول های لوشامپیونا فرانسه,آمیان,38,38
آرشیو جدول های لوشامپیونا فرانسه,تولوز,38,38
آرشیو جدول های لوشامپیونا فرانسه,کان,38,33
آرشیو جدول های لوشامپیونا فرانسه,تروا,38,33
آرشیو جدول های لوشامپیونا فرانسه,نانسی,38,35
آرشیو جدول های لوشامپیونا فرانسه,باستیا,38,34
آرشیو جدول های لوشامپیونا فرانسه,گازیلیک آژاکسیو,5,10
آرشیو جدول های لوشامپیونا فرانسه,اویان,0,0
آرشیو جدول های لوشامپیونا فرانسه,سوشو,6,7
آرشیو جدول های لوشامپیونا فرانسه,والنسین,6,7
آرشیو جدول های اردیویسه هلند,آیندهوون,8,19
آرشیو جدول های اردیویسه هلند,فاینورد,8,18
آرشیو جدول های اردیویسه هلند,توئنته,8,17
آرشیو جدول های اردیویسه هلند,هیرنفین,8,16
آرشیو جدول های اردیویسه هلند,آلکمار,7,11
آرشیو جدول های اردیویسه هلند,اوترخت,8,10
آرشیو جدول های اردیویسه هلند,نایمخن,34,34
جام جهانی 2018 روسیه,دانمارک,6,10
